Report Target;Ticket Date Create Day Label;Ticket Date Create Month Id;IWM Incident Count;IWM Request Count;IWM Change Count;IWM Problem Count
BARCHART;2017-04-05;2017M04;0;2;0;0
BARCHART;2017-04-04;2017M04;1;2;0;0
BARCHART;2017-03-30;2017M03;0;1;0;0
BARCHART;2017-03-29;2017M03;2;0;0;0
BARCHART;2017-03-28;2017M03;1;0;0;0
BARCHART;2017-03-23;2017M03;0;2;0;0
BARCHART;2017-03-21;2017M03;2;0;0;0
BARCHART;2017-03-07;2017M03;2;0;0;0
BARCHART;2017-03-01;2017M03;1;0;0;0
BARCHART;2017-02-28;2017M02;1;0;0;0
BARCHART;2017-02-27;2017M02;1;0;0;0
BARCHART;2017-02-22;2017M02;1;0;0;0
BARCHART;2017-02-21;2017M02;1;0;0;0
BARCHART;2017-02-20;2017M02;1;0;0;0
BARCHART;2017-02-17;2017M02;1;0;0;0
BARCHART;2017-02-16;2017M02;1;0;0;0
BARCHART;2017-02-10;2017M02;1;0;0;0
BARCHART;2017-02-08;2017M02;1;0;0;0
BARCHART;2017-02-06;2017M02;1;0;0;0
BARCHART;2017-02-03;2017M02;1;0;0;0
BARCHART;2017-02-02;2017M02;1;1;0;0
BARCHART;2017-01-16;2017M01;0;1;0;0
